,pay_schedule_1,pay_schedule_2,pay_schedule_3,pay_schedule_4,home_owner,income,current_address_year,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,ext_quality_score,ext_quality_score_2,inquiries_last_month,e_signed,personal_accounts_month
0,1,0,0,0,1,31.35,3,1,55.0,15.1437,7.37398319,9.035172379999999,5.8091800000000005,3.8091799999999996,10,1,30
1,0,1,0,0,0,31.8,3,1,60.0,14.8799,7.38510084,8.81026665,7.3072,6.3072,9,0,86
2,0,1,0,0,0,15.4,0,1,45.0,15.0764,6.42993277,7.665536899999999,5.317119999999999,5.317119999999999,7,0,19
3,1,0,0,0,0,52.3,1,1,70.0,15.3632,6.65223529,9.608322860000001,7.925520000000001,5.92552,8,1,86
4,0,0,1,0,0,35.9,2,1,110.0,15.7167,6.1736134499999995,8.57559706,7.44634,7.44634,12,0,98
5,0,1,0,0,0,23.03,8,1,60.0,16.1917,6.77109244,7.58765039,5.92556,4.92556,6,1,86
6,1,0,0,0,0,27.95,4,1,80.0,15.6325,7.38054622,8.732043449999999,5.8413,6.8413,14,1,73
7,1,0,0,0,0,50.0,1,1,110.0,16.0764,7.98303361,8.41746723,5.259049999999999,7.25905,5,1,25
8,0,0,1,0,0,52.6,3,1,115.0,15.9669,6.524285709999999,8.02433112,5.694590000000001,3.69459,3,1,49
9,1,0,0,0,1,30.55,11,1,60.0,15.8667,6.24665546,9.68564823,7.58607,7.58607,5,1,28
10,1,0,0,0,1,32.7,0,1,40.0,15.913,6.59736134,9.37286766,6.32466,7.32466,7,0,40
11,0,1,0,0,0,38.77,2,1,80.0,15.7615,8.027882349999999,9.00083049,8.07174,5.07174,10,1,86
12,1,0,0,0,0,35.55,8,1,90.0,15.977,6.40915126,8.697701559999999,7.526859999999999,4.52686,10,1,30
13,1,0,0,0,0,21.35,3,1,100.0,15.9431,5.49034454,7.396862090000001,4.54199,4.54199,8,1,27
14,1,0,0,0,0,37.0,6,1,50.0,11.4512,4.67041176,8.09312713,4.62823,4.62823,16,1,14
15,1,0,0,0,0,61.1,5,0,90.0,16.2203,7.39293277,9.58587718,4.95346,4.95346,2,1,50
16,1,0,0,0,0,15.15,0,1,40.0,15.7885,7.44604202,8.529920090000001,3.74144,3.74144,6,0,29
17,0,1,0,0,1,36.75,10,1,40.0,14.8312,6.91880672,8.33958071,8.24777,6.24777,9,1,2
18,1,0,0,0,0,15.2,5,1,90.0,15.1196,6.473529409999999,8.79915604,7.16315,6.16315,9,1,57
19,0,0,1,0,0,47.8,1,1,40.0,15.1115,5.39069748,8.67716376,6.183800000000001,6.183800000000001,8,1,42
20,1,0,0,0,0,32.4,6,1,120.0,16.067,7.20442017,8.12713234,4.46364,4.46364,4,0,75
21,1,0,0,0,0,31.05,4,1,60.0,15.7153,6.4673865500000005,8.967161970000001,5.32947,6.329470000000001,2,1,53
22,0,1,0,0,1,52.2,5,1,90.0,15.9281,6.692092440000001,8.81060334,5.356070000000001,7.35607,6,0,44
23,0,0,0,1,0,36.25,4,0,105.0,15.8965,5.3193613399999995,9.09195996,4.49328,5.49328,15,1,25
24,1,0,0,0,1,44.99,8,0,70.0,15.9545,7.157050419999999,8.25035913,7.3479600000000005,4.3479600000000005,4,1,50
25,1,0,0,0,0,27.4,1,1,50.0,16.0394,6.76912605,7.62098222,4.8102,4.8102,9,1,38
26,1,0,0,0,0,36.35,2,1,90.0,15.5612,6.46337815,8.08179206,4.441590000000001,6.441590000000001,3,0,50
27,0,0,0,1,0,17.35,2,1,60.0,15.8324,6.24943697,8.54215299,5.05423,6.0542300000000004,6,1,25
28,1,0,0,0,0,31.65,2,1,70.0,16.4178,6.364302520000001,8.55315137,8.084430000000001,5.084429999999999,7,0,26
29,0,1,0,0,1,30.05,10,1,70.0,15.7233,5.850512610000001,9.25996588,5.685090000000001,4.68509,4,0,61
30,1,0,0,0,0,15.8,3,1,110.0,16.0532,6.89933613,8.66616538,4.990550000000001,6.99055,7,0,41
31,1,0,0,0,0,18.75,0,1,35.0,16.0575,7.53667227,9.292512120000001,7.26708,7.26708,5,0,39
32,0,1,0,0,0,27.5,4,1,40.0,15.7458,7.37646218,9.60798617,6.59954,6.59954,6,0,86
33,1,0,0,0,0,22.65,1,1,40.0,16.0394,7.78822689,8.94639971,4.47938,4.47938,4,1,87
34,1,0,0,0,0,37.98,3,1,55.0,15.1772,7.86014286,8.82126504,7.87157,7.87157,11,1,66
35,0,0,1,0,0,20.0,0,1,50.0,15.2251,7.52766387,9.05862812,7.82007,8.82007,8,0,38
36,0,1,0,0,0,17.3,4,1,60.0,15.5372,6.80268067,8.74292961,4.53141,7.531409999999999,5,1,37
37,0,1,0,0,1,26.45,1,1,70.0,16.2613,6.85623529,9.75399533,7.47655,6.47655,7,1,38
38,1,0,0,0,0,24.55,5,1,70.0,16.46,8.03556303,9.7653304,8.20434,9.20434,4,1,41
39,1,0,0,0,0,22.7,2,1,135.0,16.2147,7.86026891,8.38368648,7.75379,5.7537899999999995,9,1,39
40,0,0,1,0,1,47.15,8,0,240.0,16.3692,8.25570588,9.44963189,7.38059,8.38059,2,0,26
41,1,0,0,0,0,17.6,5,1,60.0,15.3391,5.8626302500000005,8.84539415,6.90358,6.90358,8,0,42
42,1,0,0,0,1,51.85,8,1,90.0,15.9188,7.09681513,9.316529,6.23103,7.2310300000000005,6,0,39
43,1,0,0,0,1,32.65,8,1,70.0,15.5158,6.2371092400000006,8.74281738,5.485449999999999,5.485449999999999,6,1,39
44,0,1,0,0,1,27.65,7,1,60.0,15.3529,6.339815130000001,9.59575328,5.71946,5.71946,7,1,18
45,0,0,0,1,1,67.45,2,1,60.0,15.6168,6.81121849,8.587044350000001,7.51827,7.51827,10,0,55
